"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-72695","Formation of the ternary complex, and subsequently, the 43S complex","43/3969","52/8684",0.826923076923077,1.8092718568909,5.37000877175513,3.98003074856796e-08,3.92239290376971e-06,3.41834158149331e-06,"Rps24/Eif3f/Rps13/Rps3/Rps27/Rps27rt/Eif3e/Rps18/Eif3g/Rps10/Rps15/Eif3m/Rps11/Rpsa/Rps25/Eif3h/Eif3d/Rps19/Fau/Rps4x/Rps17/Rps23/Rps6/Rps21/Rps20/Rps7/Rps14/Rps5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Eif3c/Eif2s3x/Eif3a/Rps15a/Rps3a1/Rps8/Rps27a/Eif3b/Rps27l",43
"R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression","79/3969","111/8684",0.711711711711712,1.55719438259121,5.42046330043249,4.13245960010856e-08,3.92239290376971e-06,3.41834158149331e-06,"Rpl13a/Rpl22l1/Rpl12/Eif4a2/Rpl22/Rps24/Rpl18/Eif3f/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Eif4b/Eif3e/Rps18/Eif3g/Rpl9/Rps10/Rpl36/Rps15/Eif3m/Rpl32/Rps11/Eif4g1/Rpsa/Rpl36al/Rps25/Eif3h/Rpl30/Eif3d/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Rpl17/Eif3c/Eif2s3x/Rpl26/Eif3a/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Eif3b/Rpl23/Rpl31/Rps27l/Rpl23a",79
"R-MMU-3108232","SUMO E3 ligases SUMOylate target proteins","104/3969","155/8684",0.670967741935484,1.4680483423955,5.39438705921494,4.95761501777486e-08,4.34363346557351e-06,3.78545017146696e-06,"Rpa1/Trp53bp1/Smc6/Trim27/Bmi1/Satb1/Ube2i/Cbx4/Nup210/Suz12/Seh1l/Hdac2/Rnf2/Sin3a/Phc1/Hdac1/Nup160/Top2b/Pias2/Nr1h3/Hdac7/Pom121/Aaas/Ddx17/Rae1/Nsmce1/Pias1/Park7/Nup153/Nup58/Rangap1/Nfkbia/Rela/Sumo1/Rad21/Esr1/Stag1/Mbd1/Cdca8/Cetn2/Ctbp1/Npm1/Phc3/Pias4/Nup88/Nup35/Rxra/Nup155/Ranbp2/Nup98/Zfp131/Sumo2/Herc2/Nup85/Pml/Nup214/Tpr/Casp8ap2/Vhl/Mitf/Incenp/Rora/Nsmce4a/Ppara/Rara/Nr3c1/Nup62/Dnmt1/Smc3/Nup37/Hnrnpc/Stag2/Nrip1/Nup133/Nup107/Nsmce3/Nup54/Mdc1/Hnrnpk/Mrtfa/Thra/Vdr/Tfap2c/Cbx2/Nr5a1/Ring1/Aurkb/Smc1a/Phc2/Nop58/Sp3/Rad52/Smc5/Topors/Pgr/Cbx8/Top1/Nfkb2/Nr5a2/Top2a/Brca1/Nup43/Tdg/Hdac4",104
"R-MMU-72613","Eukaryotic Translation Initiation","83/3969","119/8684",0.697478991596639,1.52605380776649,5.30120461044526,8.1947837617453e-08,6.22257246975193e-06,5.42293409636899e-06,"Rpl13a/Rpl22l1/Rpl12/Eif4a2/Rpl22/Rps24/Rpl18/Eif3f/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Eif4b/Eif3e/Rps18/Eif3g/Rpl9/Rps10/Rpl36/Rps15/Eif3m/Rpl32/Rps11/Eif4g1/Rpsa/Rpl36al/Rps25/Eif3h/Rpl30/Eif3d/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Eif2b4/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Eif5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Rpl17/Eif3c/Eif2s3x/Rpl26/Eif3a/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Eif5b/Rps3a1/Eif2b5/Rps8/Rps27a/Rpl37/Rpl37rt/Eif3b/Rpl23/Rpl31/Rps27l/Rpl23a",83
"R-MMU-72737","Cap-dependent Translation Initiation","83/3969","119/8684",0.697478991596639,1.52605380776649,5.30120461044526,8.1947837617453e-08,6.22257246975193e-06,5.42293409636899e-06,"Rpl13a/Rpl22l1/Rpl12/Eif4a2/Rpl22/Rps24/Rpl18/Eif3f/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Eif4b/Eif3e/Rps18/Eif3g/Rpl9/Rps10/Rpl36/Rps15/Eif3m/Rpl32/Rps11/Eif4g1/Rpsa/Rpl36al/Rps25/Eif3h/Rpl30/Eif3d/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Eif2b4/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Eif5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Rpl17/Eif3c/Eif2s3x/Rpl26/Eif3a/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Eif5b/Rps3a1/Eif2b5/Rps8/Rps27a/Rpl37/Rpl37rt/Eif3b/Rpl23/Rpl31/Rps27l/Rpl23a",83
"R-MMU-72702","Ribosomal scanning and start codon recognition","47/3969","59/8684",0.796610169491525,1.74294852906637,5.25339168764368,8.7886373000064e-08,6.25641117794205e-06,5.45242432493818e-06,"Eif4a2/Rps24/Eif3f/Rps13/Rps3/Rps27/Rps27rt/Eif4b/Eif3e/Rps18/Eif3g/Rps10/Rps15/Eif3m/Rps11/Eif4g1/Rpsa/Rps25/Eif3h/Eif3d/Rps19/Fau/Rps4x/Rps17/Rps23/Rps6/Rps21/Rps20/Rps7/Rps14/Rps5/Eif5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Eif3c/Eif2s3x/Eif3a/Rps15a/Rps3a1/Rps8/Rps27a/Eif3b/Rps27l",47
"R-MMU-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","32/3969","37/8684",0.864864864864865,1.8922868446678,4.99007673486403,2.93004153410469e-07,1.96312782785014e-05,1.71085397316453e-05,"Trim33/E2f5/Sp1/Ccnt2/Smad7/Hdac1/Skil/Smad3/Smad2/Ube2d3/Rnf111/Smad4/Tfdp1/Cdk9/Smurf2/Usp9x/Wwtr1/Snw1/Ccnt1/Ubc/Ube2d1/Men1/Mapk3/Mapk1/Ncor2/Tgif1/Ccnc/Ppm1a/Rps27a/Rbl1/Ubb/Tgif2",32
"R-MMU-72649","Translation initiation complex formation","46/3969","59/8684",0.779661016949153,1.70586451780963,4.99117051234178,3.91401969699116e-07,2.1909414964104e-05,1.90939220102122e-05,"Eif4a2/Rps24/Eif3f/Rps13/Rps3/Rps27/Rps27rt/Eif4b/Eif3e/Rps18/Eif3g/Rps10/Rps15/Eif3m/Rps11/Eif4g1/Rpsa/Rps25/Eif3h/Eif3d/Rps19/Fau/Rps4x/Rps17/Rps23/Rps6/Rps21/Rps20/Rps7/Rps14/Rps5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Eif3c/Eif2s3x/Eif3a/Rps15a/Rps3a1/Rps8/Rps27a/Eif3b/Rps27l",46
"R-MMU-927802","Nonsense-Mediated Decay (NMD)","78/3969","113/8684",0.690265486725664,1.51027097171219,5.00909119538207,3.98098130231567e-07,2.1909414964104e-05,1.90939220102122e-05,"Rpl13a/Rpl22l1/Rpl12/Smg1/Rpl22/Rps24/Rpl18/Casc3/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Ppp2r2a/Rps18/Rpl9/Rps10/Rnps1/Rpl36/Rps15/Rpl32/Rps11/Upf3b/Eif4g1/Rpsa/Rpl36al/Rps25/Rpl30/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Pnrc2/Rps21/Rpl13/Rpl8/Eif4a3/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Rps16/Rps28/Upf1/Rps26/Gspt1/Rpl17/Dcp1a/Smg5/Rpl26/Smg7/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Gspt2/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Rpl23/Rpl31/Rps27l/Ppp2r1a/Rpl23a",78
"R-MMU-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","78/3969","113/8684",0.690265486725664,1.51027097171219,5.00909119538207,3.98098130231567e-07,2.1909414964104e-05,1.90939220102122e-05,"Rpl13a/Rpl22l1/Rpl12/Smg1/Rpl22/Rps24/Rpl18/Casc3/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Ppp2r2a/Rps18/Rpl9/Rps10/Rnps1/Rpl36/Rps15/Rpl32/Rps11/Upf3b/Eif4g1/Rpsa/Rpl36al/Rps25/Rpl30/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Pnrc2/Rps21/Rpl13/Rpl8/Eif4a3/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Rps16/Rps28/Upf1/Rps26/Gspt1/Rpl17/Dcp1a/Smg5/Rpl26/Smg7/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Gspt2/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Rpl23/Rpl31/Rps27l/Ppp2r1a/Rpl23a",78
"R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","67/3969","94/8684",0.712765957446808,1.55950102657296,5.00383331203855,4.03948827257405e-07,2.1909414964104e-05,1.90939220102122e-05,"Rpl13a/Rpl22l1/Rpl12/Rpl22/Rps24/Rpl18/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Rps18/Rpl9/Rps10/Rpl36/Rps15/Rpl32/Rps11/Eif4g1/Rpsa/Rpl36al/Rps25/Rpl30/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Rps16/Rps28/Upf1/Rps26/Gspt1/Rpl17/Rpl26/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Gspt2/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Rpl23/Rpl31/Rps27l/Rpl23a",67
"R-MMU-4570464","SUMOylation of RNA binding proteins","37/3969","45/8684",0.822222222222222,1.79898659052098,4.93001921399854,4.84640369342262e-07,2.50911536673107e-05,2.18667879564475e-05,"Bmi1/Ube2i/Cbx4/Nup210/Seh1l/Rnf2/Phc1/Nup160/Pom121/Aaas/Rae1/Nup153/Nup58/Sumo1/Phc3/Nup88/Nup35/Nup155/Ranbp2/Nup98/Sumo2/Nup85/Nup214/Tpr/Nup62/Nup37/Hnrnpc/Nup133/Nup107/Nup54/Hnrnpk/Cbx2/Ring1/Phc2/Nop58/Cbx8/Nup43",37
"R-MMU-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","46/3969","60/8684",0.766666666666667,1.67743344251281,4.83083812539423,9.35070669005386e-07,4.63063257390059e-05,4.0355681504443e-05,"Eif4a2/Rps24/Eif3f/Rps13/Rps3/Rps27/Rps27rt/Eif4b/Eif3e/Rps18/Eif3g/Rps10/Rps15/Eif3m/Rps11/Eif4g1/Rpsa/Rps25/Eif3h/Eif3d/Rps19/Fau/Rps4x/Rps17/Rps23/Rps6/Rps21/Rps20/Rps7/Rps14/Rps5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Eif3c/Eif2s3x/Eif3a/Rps15a/Rps3a1/Rps8/Rps27a/Eif3b/Rps27l",46
